Description,InvoiceMonth,TotalPrice
DOORMAT HOME SWEET HOME BLUE,2010-09-01,14.98
DOORMAT HOME SWEET HOME BLUE,2010-10-01,1004.7
DOORMAT HOME SWEET HOME BLUE,2010-11-01,1513.5
DOORMAT HOME SWEET HOME BLUE,2010-12-01,298.05
DOORMAT HOME SWEET HOME BLUE,2011-01-01,266.25
DOORMAT HOME SWEET HOME BLUE,2011-02-01,595.95
DOORMAT HOME SWEET HOME BLUE,2011-03-01,504.6
DOORMAT HOME SWEET HOME BLUE,2011-04-01,429.15
DOORMAT HOME SWEET HOME BLUE,2011-05-01,1042.1
DOORMAT HOME SWEET HOME BLUE,2011-06-01,2670.25
DOORMAT HOME SWEET HOME BLUE,2011-07-01,659.4
DOORMAT HOME SWEET HOME BLUE,2011-08-01,473.95
DOORMAT HOME SWEET HOME BLUE,2011-09-01,1391.3
DOORMAT HOME SWEET HOME BLUE,2011-10-01,598.24
DOORMAT HOME SWEET HOME BLUE,2011-11-01,558.9
DOORMAT HOME SWEET HOME BLUE,2011-12-01,219.3
DOORMAT I LOVE LONDON,2010-06-01,37.45
DOORMAT I LOVE LONDON,2010-07-01,1762.77
DOORMAT I LOVE LONDON,2010-08-01,220.46
DOORMAT I LOVE LONDON,2010-09-01,274.8
DOORMAT I LOVE LONDON,2010-10-01,230.55
DOORMAT I LOVE LONDON,2010-11-01,476.7
DOORMAT I LOVE LONDON,2010-12-01,151.05
DOORMAT I LOVE LONDON,2011-01-01,63.6
DOORMAT I LOVE LONDON,2011-02-01,127.2
DOORMAT I LOVE LONDON,2011-03-01,79.5
DOORMAT I LOVE LONDON,2011-04-01,186.75
DOORMAT I LOVE LONDON,2011-05-01,115.2
DOORMAT I LOVE LONDON,2011-06-01,56.4
DOORMAT I LOVE LONDON,2011-07-01,39.75
DOORMAT I LOVE LONDON,2011-08-01,107.25
DOORMAT I LOVE LONDON,2011-09-01,616.1
DOORMAT I LOVE LONDON,2011-10-01,110.82
DOORMAT I LOVE LONDON,2011-11-01,464.11
DOORMAT I LOVE LONDON,2011-12-01,87.3
DOORMAT KEEP CALM AND COME IN,2011-04-01,223.2
DOORMAT KEEP CALM AND COME IN,2011-05-01,5678.65
DOORMAT KEEP CALM AND COME IN,2011-06-01,4639.0
DOORMAT KEEP CALM AND COME IN,2011-07-01,3719.4
DOORMAT KEEP CALM AND COME IN,2011-08-01,7.95
DOORMAT KEEP CALM AND COME IN,2011-09-01,4042.85
DOORMAT KEEP CALM AND COME IN,2011-10-01,11006.12
DOORMAT KEEP CALM AND COME IN,2011-11-01,5274.6
DOORMAT KEEP CALM AND COME IN,2011-12-01,1322.08
DOORMAT MERRY CHRISTMAS RED,2010-06-01,7.49
DOORMAT MERRY CHRISTMAS RED,2010-07-01,70.99
DOORMAT MERRY CHRISTMAS RED,2010-08-01,434.09
DOORMAT MERRY CHRISTMAS RED,2010-09-01,548.67
DOORMAT MERRY CHRISTMAS RED,2010-10-01,1404.41
DOORMAT MERRY CHRISTMAS RED,2010-11-01,365.55
DOORMAT MERRY CHRISTMAS RED,2010-12-01,135.15
DOORMAT MERRY CHRISTMAS RED,2011-07-01,123.15
DOORMAT MERRY CHRISTMAS RED,2011-08-01,446.05
DOORMAT MERRY CHRISTMAS RED,2011-09-01,1718.24
DOORMAT MERRY CHRISTMAS RED,2011-10-01,1394.67
DOORMAT MERRY CHRISTMAS RED,2011-11-01,539.08
DOORMAT MULTICOLOUR STRIPE,2010-07-01,1740.35
DOORMAT MULTICOLOUR STRIPE,2010-08-01,1374.0
DOORMAT MULTICOLOUR STRIPE,2010-09-01,7.95
DOORMAT MULTICOLOUR STRIPE,2010-10-01,546.0
DOORMAT MULTICOLOUR STRIPE,2010-11-01,827.65
DOORMAT MULTICOLOUR STRIPE,2010-12-01,881.7
DOORMAT MULTICOLOUR STRIPE,2011-01-01,214.5
DOORMAT MULTICOLOUR STRIPE,2011-02-01,159.0
DOORMAT MULTICOLOUR STRIPE,2011-03-01,766.5
DOORMAT MULTICOLOUR STRIPE,2011-04-01,385.35
DOORMAT MULTICOLOUR STRIPE,2011-05-01,1010.68
DOORMAT MULTICOLOUR STRIPE,2011-06-01,1485.3
DOORMAT MULTICOLOUR STRIPE,2011-07-01,397.2
DOORMAT MULTICOLOUR STRIPE,2011-08-01,256.95
DOORMAT MULTICOLOUR STRIPE,2011-09-01,2052.15
DOORMAT MULTICOLOUR STRIPE,2011-10-01,278.4
DOORMAT MULTICOLOUR STRIPE,2011-11-01,139.54
DOORMAT MULTICOLOUR STRIPE,2011-12-01,57.75
DOORMAT NEIGHBOURHOOD WITCH,2010-01-01,287.75
DOORMAT NEIGHBOURHOOD WITCH,2010-02-01,86.5
DOORMAT NEIGHBOURHOOD WITCH,2010-04-01,13.5
DOORMAT NEIGHBOURHOOD WITCH,2010-07-01,1456.39
DOORMAT NEIGHBOURHOOD WITCH,2010-08-01,1489.93
DOORMAT NEIGHBOURHOOD WITCH,2010-09-01,169.01
DOORMAT NEIGHBOURHOOD WITCH,2010-10-01,186.75
DOORMAT NEIGHBOURHOOD WITCH,2010-11-01,381.3
DOORMAT NEIGHBOURHOOD WITCH,2010-12-01,95.4
DOORMAT NEIGHBOURHOOD WITCH,2011-01-01,115.2
DOORMAT NEIGHBOURHOOD WITCH,2011-02-01,71.55
DOORMAT NEIGHBOURHOOD WITCH,2011-03-01,111.3
DOORMAT NEIGHBOURHOOD WITCH,2011-04-01,55.65
DOORMAT NEIGHBOURHOOD WITCH,2011-05-01,178.8
DOORMAT NEIGHBOURHOOD WITCH,2011-06-01,15.9
DOORMAT NEIGHBOURHOOD WITCH,2011-07-01,39.75
DOORMAT NEIGHBOURHOOD WITCH,2011-08-01,39.75
DOORMAT NEIGHBOURHOOD WITCH,2011-09-01,634.63
DOORMAT NEIGHBOURHOOD WITCH,2011-10-01,134.67
DOORMAT NEIGHBOURHOOD WITCH,2011-11-01,121.62
DOORMAT NEIGHBOURHOOD WITCH,2011-12-01,55.3
DOORMAT NEW ENGLAND,2010-06-01,70.99
DOORMAT NEW ENGLAND,2010-07-01,2855.04
DOORMAT NEW ENGLAND,2010-08-01,2763.53
DOORMAT NEW ENGLAND,2010-09-01,7.95
DOORMAT NEW ENGLAND,2010-10-01,552.05
DOORMAT NEW ENGLAND,2010-11-01,2459.32
DOORMAT NEW ENGLAND,2010-12-01,1541.25
DOORMAT NEW ENGLAND,2011-01-01,1711.8
DOORMAT NEW ENGLAND,2011-02-01,683.4
DOORMAT NEW ENGLAND,2011-03-01,1759.8
DOORMAT NEW ENGLAND,2011-04-01,1092.6
DOORMAT NEW ENGLAND,2011-05-01,1852.55
DOORMAT NEW ENGLAND,2011-06-01,2913.85
DOORMAT NEW ENGLAND,2011-07-01,3406.3
DOORMAT NEW ENGLAND,2011-08-01,1253.75
DOORMAT NEW ENGLAND,2011-09-01,4162.0
DOORMAT NEW ENGLAND,2011-10-01,936.3
DOORMAT NEW ENGLAND,2011-11-01,1867.5
DOORMAT NEW ENGLAND,2011-12-01,331.35
DOORMAT PEACE ON EARTH BLUE,2010-06-01,7.49
DOORMAT PEACE ON EARTH BLUE,2010-07-01,14.98
DOORMAT PEACE ON EARTH BLUE,2010-08-01,127.33
DOORMAT PEACE ON EARTH BLUE,2010-09-01,303.24
DOORMAT PEACE ON EARTH BLUE,2010-10-01,257.38
DOORMAT PEACE ON EARTH BLUE,2010-11-01,468.9
DOORMAT PEACE ON EARTH BLUE,2010-12-01,495.75
DOORMAT PEACE ON EARTH BLUE,2011-01-01,7.95
DOORMAT PEACE ON EARTH BLUE,2011-08-01,99.3
DOORMAT PEACE ON EARTH BLUE,2011-09-01,2959.9
DOORMAT PEACE ON EARTH BLUE,2011-10-01,24.75
DOORMAT PEACE ON EARTH BLUE,2011-11-01,90.04
DOORMAT PEACE ON EARTH BLUE,2011-12-01,8.25
DOORMAT RED RETROSPOT,2010-09-01,700.8
DOORMAT RED RETROSPOT,2010-10-01,2104.5
DOORMAT RED RETROSPOT,2010-11-01,3694.05
DOORMAT RED RETROSPOT,2010-12-01,3761.4
DOORMAT RED RETROSPOT,2011-01-01,1951.95
DOORMAT RED RETROSPOT,2011-02-01,1223.55
DOORMAT RED RETROSPOT,2011-03-01,1656.6
DOORMAT RED RETROSPOT,2011-04-01,897.9
DOORMAT RED RETROSPOT,2011-05-01,3271.3
DOORMAT RED RETROSPOT,2011-06-01,3660.25
DOORMAT RED RETROSPOT,2011-07-01,3214.25
DOORMAT RED RETROSPOT,2011-08-01,1077.7
DOORMAT RED RETROSPOT,2011-09-01,1399.25
DOORMAT RED RETROSPOT,2011-10-01,1425.16
DOORMAT RED RETROSPOT,2011-11-01,2470.99
DOORMAT RED RETROSPOT,2011-12-01,622.8
DOORMAT RED SPOT,2010-06-01,22.47
DOORMAT RED SPOT,2010-07-01,2071.43
DOORMAT RED SPOT,2010-08-01,2449.57
DOORMAT RED SPOT,2010-09-01,2296.14
DOORMAT RED SPOT,2010-10-01,147.0
DOORMAT RED SPOT,2010-11-01,63.6
DOORMAT RESPECTABLE HOUSE,2010-01-01,633.75
DOORMAT RESPECTABLE HOUSE,2010-02-01,140.5
DOORMAT RESPECTABLE HOUSE,2010-04-01,13.5
DOORMAT RESPECTABLE HOUSE,2010-06-01,7.49
DOORMAT RESPECTABLE HOUSE,2010-07-01,1546.27
DOORMAT RESPECTABLE HOUSE,2010-08-01,1715.22
DOORMAT RESPECTABLE HOUSE,2010-09-01,308.06
DOORMAT RESPECTABLE HOUSE,2010-10-01,1368.26
DOORMAT RESPECTABLE HOUSE,2010-11-01,691.2
DOORMAT RESPECTABLE HOUSE,2010-12-01,421.2
DOORMAT RESPECTABLE HOUSE,2011-01-01,230.4
DOORMAT RESPECTABLE HOUSE,2011-02-01,247.2
DOORMAT RESPECTABLE HOUSE,2011-03-01,143.1
DOORMAT RESPECTABLE HOUSE,2011-04-01,139.05
DOORMAT RESPECTABLE HOUSE,2011-05-01,294.0
DOORMAT RESPECTABLE HOUSE,2011-06-01,111.3
DOORMAT RESPECTABLE HOUSE,2011-07-01,226.5
DOORMAT RESPECTABLE HOUSE,2011-08-01,426.1
DOORMAT RESPECTABLE HOUSE,2011-09-01,1633.0
DOORMAT RESPECTABLE HOUSE,2011-10-01,127.84
DOORMAT RESPECTABLE HOUSE,2011-11-01,978.6
DOORMAT RESPECTABLE HOUSE,2011-12-01,66.0
DOORMAT SPOTTY HOME SWEET HOME,2010-06-01,85.97
DOORMAT SPOTTY HOME SWEET HOME,2010-07-01,1054.44
DOORMAT SPOTTY HOME SWEET HOME,2010-08-01,1664.64
DOORMAT SPOTTY HOME SWEET HOME,2010-09-01,1337.31
DOORMAT SPOTTY HOME SWEET HOME,2010-10-01,1280.64
DOORMAT SPOTTY HOME SWEET HOME,2010-11-01,1791.45
DOORMAT SPOTTY HOME SWEET HOME,2010-12-01,1338.6
DOORMAT SPOTTY HOME SWEET HOME,2011-01-01,1036.8
DOORMAT SPOTTY HOME SWEET HOME,2011-02-01,445.05
DOORMAT SPOTTY HOME SWEET HOME,2011-03-01,1176.0
DOORMAT SPOTTY HOME SWEET HOME,2011-04-01,723.15
DOORMAT SPOTTY HOME SWEET HOME,2011-05-01,909.75
DOORMAT SPOTTY HOME SWEET HOME,2011-06-01,568.05
DOORMAT SPOTTY HOME SWEET HOME,2011-07-01,655.5
DOORMAT SPOTTY HOME SWEET HOME,2011-08-01,1129.3
DOORMAT SPOTTY HOME SWEET HOME,2011-09-01,2382.29
DOORMAT SPOTTY HOME SWEET HOME,2011-10-01,741.69
DOORMAT SPOTTY HOME SWEET HOME,2011-11-01,1115.1
DOORMAT SPOTTY HOME SWEET HOME,2011-12-01,315.24
DOORMAT TOPIARY,2010-06-01,14.98
DOORMAT TOPIARY,2010-07-01,1856.61
DOORMAT TOPIARY,2010-08-01,2395.16
DOORMAT TOPIARY,2010-09-01,979.93
DOORMAT TOPIARY,2010-10-01,401.4
DOORMAT TOPIARY,2010-11-01,1068.6
DOORMAT TOPIARY,2010-12-01,313.8
DOORMAT TOPIARY,2011-01-01,456.9
DOORMAT TOPIARY,2011-02-01,484.65
DOORMAT TOPIARY,2011-03-01,357.6
DOORMAT TOPIARY,2011-04-01,234.45
DOORMAT TOPIARY,2011-05-01,528.3
DOORMAT TOPIARY,2011-06-01,353.55
DOORMAT TOPIARY,2011-07-01,206.7
DOORMAT TOPIARY,2011-08-01,286.05
DOORMAT TOPIARY,2011-09-01,1775.35
DOORMAT TOPIARY,2011-10-01,235.09
DOORMAT TOPIARY,2011-11-01,365.67
DOORMAT TOPIARY,2011-12-01,161.55
DOORMAT UNION FLAG,2010-06-01,59.92
DOORMAT UNION FLAG,2010-07-01,3990.07
DOORMAT UNION FLAG,2010-08-01,2897.78
DOORMAT UNION FLAG,2010-09-01,2489.3
DOORMAT UNION FLAG,2010-10-01,2179.79
DOORMAT UNION FLAG,2010-11-01,4829.3
DOORMAT UNION FLAG,2010-12-01,2145.3
DOORMAT UNION FLAG,2011-01-01,1501.5
DOORMAT UNION FLAG,2011-02-01,1490.85
DOORMAT UNION FLAG,2011-03-01,2298.15
DOORMAT UNION FLAG,2011-04-01,1970.25
DOORMAT UNION FLAG,2011-05-01,2039.0
DOORMAT UNION FLAG,2011-06-01,3069.85
DOORMAT UNION FLAG,2011-07-01,1201.2
DOORMAT UNION FLAG,2011-08-01,929.95
DOORMAT UNION FLAG,2011-09-01,4484.76
DOORMAT UNION FLAG,2011-10-01,1165.2
DOORMAT UNION FLAG,2011-11-01,1492.13
DOORMAT UNION FLAG,2011-12-01,486.0
DOORMAT UNION JACK GUNS AND ROSES,2010-06-01,7.49
DOORMAT UNION JACK GUNS AND ROSES,2010-07-01,1759.57
DOORMAT UNION JACK GUNS AND ROSES,2010-08-01,1823.66
DOORMAT UNION JACK GUNS AND ROSES,2010-09-01,495.73
DOORMAT UNION JACK GUNS AND ROSES,2010-10-01,706.33
DOORMAT UNION JACK GUNS AND ROSES,2010-11-01,325.95
DOORMAT UNION JACK GUNS AND ROSES,2010-12-01,445.05
DOORMAT UNION JACK GUNS AND ROSES,2011-01-01,448.95
DOORMAT UNION JACK GUNS AND ROSES,2011-02-01,317.85
DOORMAT UNION JACK GUNS AND ROSES,2011-03-01,373.5
DOORMAT UNION JACK GUNS AND ROSES,2011-04-01,333.75
DOORMAT UNION JACK GUNS AND ROSES,2011-05-01,728.15
DOORMAT UNION JACK GUNS AND ROSES,2011-06-01,2504.65
DOORMAT UNION JACK GUNS AND ROSES,2011-07-01,305.85
DOORMAT UNION JACK GUNS AND ROSES,2011-08-01,271.3
DOORMAT UNION JACK GUNS AND ROSES,2011-09-01,562.85
DOORMAT UNION JACK GUNS AND ROSES,2011-10-01,209.94
DOORMAT UNION JACK GUNS AND ROSES,2011-11-01,181.62
DOORMAT UNION JACK GUNS AND ROSES,2011-12-01,87.3
DOORMAT WELCOME PUPPIES,2010-06-01,14.98
DOORMAT WELCOME PUPPIES,2010-07-01,3679.22
DOORMAT WELCOME PUPPIES,2010-08-01,1644.23
DOORMAT WELCOME PUPPIES,2010-09-01,651.13
DOORMAT WELCOME PUPPIES,2010-10-01,571.95
DOORMAT WELCOME PUPPIES,2010-11-01,1088.4
DOORMAT WELCOME PUPPIES,2010-12-01,301.95
DOORMAT WELCOME PUPPIES,2011-01-01,472.8
DOORMAT WELCOME PUPPIES,2011-02-01,707.1
DOORMAT WELCOME PUPPIES,2011-03-01,333.9
DOORMAT WELCOME PUPPIES,2011-04-01,306.0
DOORMAT WELCOME PUPPIES,2011-05-01,1208.9
DOORMAT WELCOME PUPPIES,2011-06-01,2770.75
DOORMAT WELCOME PUPPIES,2011-07-01,2861.2
DOORMAT WELCOME PUPPIES,2011-08-01,561.4
DOORMAT WELCOME PUPPIES,2011-09-01,958.9
DOORMAT WELCOME PUPPIES,2011-10-01,835.17
DOORMAT WELCOME PUPPIES,2011-11-01,325.13
DOORMAT WELCOME PUPPIES,2011-12-01,8.25
DOORMAT WELCOME SUNRISE,2010-06-01,37.45
DOORMAT WELCOME SUNRISE,2010-07-01,1056.73
DOORMAT WELCOME SUNRISE,2010-08-01,459.81
DOORMAT WELCOME SUNRISE,2010-09-01,318.22
DOORMAT WELCOME SUNRISE,2010-10-01,357.6
DOORMAT WELCOME SUNRISE,2010-11-01,119.25
DOORMAT WELCOME SUNRISE,2010-12-01,15.9
DOORMAT WELCOME SUNRISE,2011-02-01,179.55
DOORMAT WELCOME SUNRISE,2011-03-01,246.3
DOORMAT WELCOME SUNRISE,2011-04-01,151.05
DOORMAT WELCOME SUNRISE,2011-05-01,162.9
DOORMAT WELCOME SUNRISE,2011-06-01,103.35
DOORMAT WELCOME SUNRISE,2011-07-01,127.2
DOORMAT WELCOME SUNRISE,2011-08-01,190.8
DOORMAT WELCOME SUNRISE,2011-09-01,669.9
DOORMAT WELCOME SUNRISE,2011-10-01,114.79
DOORMAT WELCOME SUNRISE,2011-11-01,232.35
DOORMAT WELCOME SUNRISE,2011-12-01,82.5
DOORMAT WELCOME TO OUR HOME,2010-06-01,7.49
DOORMAT WELCOME TO OUR HOME,2010-07-01,1348.18
DOORMAT WELCOME TO OUR HOME,2010-08-01,692.0
DOORMAT WELCOME TO OUR HOME,2010-09-01,252.46
DOORMAT WELCOME TO OUR HOME,2010-10-01,329.7
DOORMAT WELCOME TO OUR HOME,2010-11-01,1022.4
DOORMAT WELCOME TO OUR HOME,2010-12-01,166.95
DOORMAT WELCOME TO OUR HOME,2011-01-01,953.25
DOORMAT WELCOME TO OUR HOME,2011-02-01,925.8
DOORMAT WELCOME TO OUR HOME,2011-03-01,866.1
DOORMAT WELCOME TO OUR HOME,2011-04-01,512.7
DOORMAT WELCOME TO OUR HOME,2011-05-01,862.05
DOORMAT WELCOME TO OUR HOME,2011-06-01,345.75
DOORMAT WELCOME TO OUR HOME,2011-07-01,742.95
DOORMAT WELCOME TO OUR HOME,2011-08-01,794.7
DOORMAT WELCOME TO OUR HOME,2011-09-01,1965.3
DOORMAT WELCOME TO OUR HOME,2011-10-01,708.34
DOORMAT WELCOME TO OUR HOME,2011-11-01,483.94
DOORMAT WELCOME TO OUR HOME,2011-12-01,140.25
DOORSTOP RETROSPOT HEART,2010-03-01,586.47
DOORSTOP RETROSPOT HEART,2010-04-01,352.5
DOORSTOP RETROSPOT HEART,2010-05-01,558.48
DOORSTOP RETROSPOT HEART,2010-06-01,515.49
DOORSTOP RETROSPOT HEART,2010-07-01,363.75
DOORSTOP RETROSPOT HEART,2010-08-01,423.48
DOORSTOP RETROSPOT HEART,2010-09-01,309.24
DOORSTOP RETROSPOT HEART,2010-10-01,521.64
DOORSTOP RETROSPOT HEART,2010-11-01,751.74
DOORSTOP RETROSPOT HEART,2010-12-01,429.24
DOORSTOP RETROSPOT HEART,2011-01-01,322.23
DOORSTOP RETROSPOT HEART,2011-02-01,153.75
DOORSTOP RETROSPOT HEART,2011-03-01,221.25
DOORSTOP RETROSPOT HEART,2011-04-01,67.5
DOORSTOP RETROSPOT HEART,2011-05-01,176.25
DOORSTOP RETROSPOT HEART,2011-06-01,112.5
DOORSTOP RETROSPOT HEART,2011-07-01,165.0
DOORSTOP RETROSPOT HEART,2011-08-01,240.0
DOORSTOP RETROSPOT HEART,2011-09-01,3294.23
DOORSTOP RETROSPOT HEART,2011-10-01,300.18
DOORSTOP RETROSPOT HEART,2011-11-01,512.33
DOORSTOP RETROSPOT HEART,2011-12-01,78.75
DOTCOM POSTAGE,2011-08-01,11.17
DOTCOM POSTAGE,2011-09-01,1681.83
DOTCOM POSTAGE,2011-10-01,3408.76
DOTCOM POSTAGE,2011-11-01,5205.34
DOTCOM POSTAGE,2011-12-01,1599.26
DOUGHNUT LIP GLOSS,2011-03-01,505.0
DOUGHNUT LIP GLOSS,2011-04-01,1076.05
DOUGHNUT LIP GLOSS,2011-05-01,775.0
DOUGHNUT LIP GLOSS,2011-06-01,609.45
DOUGHNUT LIP GLOSS,2011-07-01,1432.45
DOUGHNUT LIP GLOSS,2011-08-01,861.75
DOUGHNUT LIP GLOSS,2011-09-01,1566.0
DOUGHNUT LIP GLOSS,2011-10-01,1799.0
DOUGHNUT LIP GLOSS,2011-11-01,2316.0
DOUGHNUT LIP GLOSS,2011-12-01,700.0
EASTER CRAFT 4 CHICKS,2009-12-01,225.3
EASTER CRAFT 4 CHICKS,2010-01-01,649.5
EASTER CRAFT 4 CHICKS,2010-02-01,1137.75
EASTER CRAFT 4 CHICKS,2010-03-01,31.2
EASTER CRAFT 4 CHICKS,2010-04-01,3.9
EASTER CRAFT 4 CHICKS,2010-06-01,1.95
EASTER CRAFT 4 CHICKS,2010-08-01,3.9
EASTER CRAFT 4 CHICKS,2010-09-01,23.4
EASTER CRAFT 4 CHICKS,2010-11-01,5.85
EASTER CRAFT 4 CHICKS,2011-01-01,454.05
EASTER CRAFT 4 CHICKS,2011-02-01,1157.55
EASTER CRAFT 4 CHICKS,2011-03-01,1314.75
EASTER CRAFT 4 CHICKS,2011-04-01,308.1
EASTER CRAFT 4 CHICKS,2011-05-01,23.4
EASTER CRAFT 4 CHICKS,2011-07-01,3.9
EASTER CRAFT 4 CHICKS,2011-08-01,23.4
EASTER CRAFT 4 CHICKS,2011-09-01,23.4
EASTER CRAFT 4 CHICKS,2011-10-01,5.85
EASTER CRAFT 4 CHICKS,2011-11-01,29.25
EASTER CRAFT 4 CHICKS,2011-12-01,23.4
EDWARDIAN PARASOL BLACK,2009-12-01,8674.4
EDWARDIAN PARASOL BLACK,2010-01-01,4426.65
EDWARDIAN PARASOL BLACK,2010-02-01,1788.9
EDWARDIAN PARASOL BLACK,2010-03-01,1183.35
EDWARDIAN PARASOL BLACK,2010-04-01,814.65
EDWARDIAN PARASOL BLACK,2010-05-01,642.1
EDWARDIAN PARASOL BLACK,2010-06-01,1075.95
EDWARDIAN PARASOL BLACK,2010-07-01,1662.0
EDWARDIAN PARASOL BLACK,2010-08-01,2603.6
EDWARDIAN PARASOL BLACK,2010-09-01,1967.75
EDWARDIAN PARASOL BLACK,2010-10-01,3596.05
EDWARDIAN PARASOL BLACK,2010-11-01,2504.7
EDWARDIAN PARASOL BLACK,2010-12-01,1582.3
EDWARDIAN PARASOL BLACK,2011-01-01,1004.55
EDWARDIAN PARASOL BLACK,2011-02-01,684.25
EDWARDIAN PARASOL BLACK,2011-03-01,714.0
EDWARDIAN PARASOL BLACK,2011-04-01,386.75
EDWARDIAN PARASOL BLACK,2011-05-01,1040.25
EDWARDIAN PARASOL BLACK,2011-06-01,774.95
EDWARDIAN PARASOL BLACK,2011-07-01,2688.1
EDWARDIAN PARASOL BLACK,2011-08-01,1153.25
EDWARDIAN PARASOL BLACK,2011-09-01,1470.85
EDWARDIAN PARASOL BLACK,2011-10-01,2880.11
EDWARDIAN PARASOL BLACK,2011-11-01,933.75
EDWARDIAN PARASOL BLACK,2011-12-01,423.01
EDWARDIAN PARASOL NATURAL,2009-12-01,5953.95
EDWARDIAN PARASOL NATURAL,2010-01-01,2733.4
EDWARDIAN PARASOL NATURAL,2010-02-01,1628.25
EDWARDIAN PARASOL NATURAL,2010-03-01,2163.6
EDWARDIAN PARASOL NATURAL,2010-04-01,3203.55
EDWARDIAN PARASOL NATURAL,2010-05-01,1913.9
EDWARDIAN PARASOL NATURAL,2010-06-01,3290.15
EDWARDIAN PARASOL NATURAL,2010-07-01,2582.1
EDWARDIAN PARASOL NATURAL,2010-08-01,3031.9
EDWARDIAN PARASOL NATURAL,2010-09-01,2136.25
EDWARDIAN PARASOL NATURAL,2010-10-01,2548.85
EDWARDIAN PARASOL NATURAL,2010-11-01,2473.8
EDWARDIAN PARASOL NATURAL,2010-12-01,1109.25
EDWARDIAN PARASOL NATURAL,2011-01-01,744.6
EDWARDIAN PARASOL NATURAL,2011-02-01,1349.15
EDWARDIAN PARASOL NATURAL,2011-03-01,2484.4
EDWARDIAN PARASOL NATURAL,2011-04-01,963.4
EDWARDIAN PARASOL NATURAL,2011-05-01,1825.15
EDWARDIAN PARASOL NATURAL,2011-06-01,2037.35
EDWARDIAN PARASOL NATURAL,2011-07-01,3562.8
EDWARDIAN PARASOL NATURAL,2011-08-01,2265.35
EDWARDIAN PARASOL NATURAL,2011-09-01,1897.61
EDWARDIAN PARASOL NATURAL,2011-10-01,1528.55
EDWARDIAN PARASOL NATURAL,2011-11-01,850.15
EDWARDIAN PARASOL NATURAL,2011-12-01,464.0
EDWARDIAN PARASOL PINK,2009-12-01,2388.55
EDWARDIAN PARASOL PINK,2010-01-01,89.25
EDWARDIAN PARASOL PINK,2010-02-01,303.25
EDWARDIAN PARASOL PINK,2010-03-01,345.0
EDWARDIAN PARASOL PINK,2010-04-01,327.25
EDWARDIAN PARASOL PINK,2010-05-01,333.2
EDWARDIAN PARASOL PINK,2010-06-01,570.7
EDWARDIAN PARASOL PINK,2010-07-01,1192.35
EDWARDIAN PARASOL PINK,2010-08-01,493.35
EDWARDIAN PARASOL PINK,2010-09-01,136.85
EDWARDIAN PARASOL PINK,2010-10-01,404.6
EDWARDIAN PARASOL PINK,2010-11-01,1052.15
EDWARDIAN PARASOL PINK,2010-12-01,608.2
EDWARDIAN PARASOL PINK,2011-01-01,89.25
EDWARDIAN PARASOL PINK,2011-02-01,148.75
EDWARDIAN PARASOL PINK,2011-03-01,214.2
EDWARDIAN PARASOL PINK,2011-04-01,505.25
EDWARDIAN PARASOL PINK,2011-05-01,392.2
EDWARDIAN PARASOL PINK,2011-06-01,166.6
EDWARDIAN PARASOL PINK,2011-07-01,782.75
EDWARDIAN PARASOL PINK,2011-08-01,470.05
EDWARDIAN PARASOL PINK,2011-09-01,285.6
EDWARDIAN PARASOL PINK,2011-10-01,264.55
EDWARDIAN PARASOL PINK,2011-11-01,464.26
EDWARDIAN PARASOL PINK,2011-12-01,113.05
EDWARDIAN PARASOL RED,2009-12-01,6108.25
EDWARDIAN PARASOL RED,2010-01-01,4568.95
EDWARDIAN PARASOL RED,2010-02-01,653.95
EDWARDIAN PARASOL RED,2010-03-01,1052.45
EDWARDIAN PARASOL RED,2010-04-01,440.3
EDWARDIAN PARASOL RED,2010-05-01,386.75
EDWARDIAN PARASOL RED,2010-06-01,297.5
EDWARDIAN PARASOL RED,2010-07-01,309.4
EDWARDIAN PARASOL RED,2010-08-01,993.15
EDWARDIAN PARASOL RED,2010-09-01,1628.6
EDWARDIAN PARASOL RED,2010-10-01,1576.25
EDWARDIAN PARASOL RED,2010-11-01,1504.35
EDWARDIAN PARASOL RED,2010-12-01,1373.75
EDWARDIAN PARASOL RED,2011-01-01,790.85
EDWARDIAN PARASOL RED,2011-02-01,400.3
EDWARDIAN PARASOL RED,2011-03-01,469.3
EDWARDIAN PARASOL RED,2011-04-01,208.25
EDWARDIAN PARASOL RED,2011-05-01,879.6
EDWARDIAN PARASOL RED,2011-06-01,243.95
EDWARDIAN PARASOL RED,2011-07-01,909.85
EDWARDIAN PARASOL RED,2011-08-01,1087.8
EDWARDIAN PARASOL RED,2011-09-01,822.22
EDWARDIAN PARASOL RED,2011-10-01,1376.2
EDWARDIAN PARASOL RED,2011-11-01,844.5
EDWARDIAN PARASOL RED,2011-12-01,214.2
EMBOSSED GLASS TEALIGHT HOLDER,2010-03-01,309.26
EMBOSSED GLASS TEALIGHT HOLDER,2010-04-01,165.0
EMBOSSED GLASS TEALIGHT HOLDER,2010-05-01,178.97
EMBOSSED GLASS TEALIGHT HOLDER,2010-06-01,359.26
EMBOSSED GLASS TEALIGHT HOLDER,2010-07-01,285.0
EMBOSSED GLASS TEALIGHT HOLDER,2010-08-01,98.75
EMBOSSED GLASS TEALIGHT HOLDER,2010-09-01,67.5
EMBOSSED GLASS TEALIGHT HOLDER,2010-10-01,435.51
