Description,NLP_Category
GREEN CHRISTMAS TREE CARD HOLDER,4
PINK VINTAGE SPOT BEAKER,0
RED RETROSPOT TRADITIONAL TEAPOT,0
RETRO SPORT PARTY BAG + STICKER SET,8
SET OF 3 BUTTERFLY COOKIE CUTTERS,9
BLACK HEART CARD HOLDER,4
LARGE CIRCULAR MIRROR MOBILE,0
PINK DRAWER KNOB ACRYLIC EDWARDIAN,0
SET OF 36 PAISLEY FLOWER DOILIES,9
TRADITIONAL CHRISTMAS RIBBONS,0
VINTAGE CHRISTMAS GIFT SACK,0
AFGHAN SLIPPER SOCK PAIR,0
JUMBO BAG VINTAGE LEAF,8
SET 6 PAPER TABLE LANTERN HEARTS,9
SET OF 3 WOODEN HEART DECORATIONS,9
WOODEN PICTURE FRAME WHITE FINISH,0
3 STRIPEY MICE FELTCRAFT,0
BLUE STRIPE CERAMIC DRAWER KNOB,0
JUMBO STORAGE BAG SUKI,8
PICTURE FRAME WOOD TRIPLE PORTRAIT,0
RED RETROSPOT MINI CASES,0
PINK/BROWN DOTS RUFFLED UMBRELLA,0
REGENCY TEA STRAINER,0
STRAWBERRY RAFFIA FOOD COVER,0
VINYL RECORD FRAME SILVER,0
12 PENCILS SMALL TUBE RED RETROSPOT,0
EMPIRE UNION JACK TV DINNER TRAY,2
PINK CREAM FELT CRAFT TRINKET BOX,0
RED SPOTTY CHILDS UMBRELLA,0
SPACEBOY BIRTHDAY CARD,0
GARDENERS KNEELING PAD KEEP CALM,0
MEMO BOARD RETROSPOT  DESIGN,0
S/4 CACTI CANDLES,0
SET OF 4 KNICK KNACK TINS DOILEY,9
CHILDRENS CUTLERY SPACEBOY,0
DOORMAT WELCOME SUNRISE,0
LANDMARK FRAME OXFORD STREET,0
LUNCH BOX I LOVE LONDON,0
PLASTERS IN TIN SPACEBOY,6
VANILLA SCENT CANDLE JEWELLED BOX,0
DOOR MAT ENGLISH ROSE,0
POPPY'S PLAYHOUSE LIVINGROOM,0
RED RETROSPOT BOWL,0
RED STRIPE CERAMIC DRAWER KNOB,0
RETROSPOT PADDED SEAT CUSHION,0
SET/3 RUSSIAN DOLL STACKING TINS,0
VINTAGE RED KITCHEN CABINET,0
DOOR MAT UNION JACK GUNS AND ROSES,0
OPEN CLOSED METAL SIGN,5
VINTAGE BLUE KITCHEN CABINET,0
ALARM CLOCK BAKELIKE ORANGE,0
CHILDS BREAKFAST SET DOLLY GIRL,9
CHOCOLATE HOT WATER BOTTLE,0
DOTCOM POSTAGE,0
FELTCRAFT CHRISTMAS FAIRY,0
JUMBO BAG PINK POLKADOT,8
SET OF 5 LUCKY CAT MAGNETS,9
DOORMAT BLACK FLOCK,0
DOORMAT RED RETROSPOT,0
REGENCY CAKESTAND 3 TIER,0
VINTAGE CREAM DOG FOOD CONTAINER,0
WALL ART ONLY ONE PERSON,0
CREAM SWEETHEART EGG HOLDER,0
SET/5 RED SPOTTY LID GLASS BOWLS,0
BUBBLEGUM RING ASSORTED,0
GIANT 50'S CHRISTMAS CRACKER,0
HOME BUILDING BLOCK WORD,0
MAGIC DRAWING SLATE SPACEBOY,0
PLEASE ONE PERSON METAL SIGN,5
SET OF 72 RETROSPOT PAPER  DOILIES,9
SET/20 RED RETROSPOT PAPER NAPKINS,0
YOU'RE CONFUSING ME METAL SIGN,5
6 RIBBONS RUSTIC CHARM,0
ALARM CLOCK BAKELIKE PINK,0
METAL SIGN NEIGHBOURHOOD WITCH,5
PHOTO FRAME CORNICE,0
RED RETROSPOT SMALL MILK JUG,0
UTILTY CABINET WITH HOOKS,0
VINTAGE BILLBOARD DRINK ME MUG,0
PAPER CHAIN KIT RETRO SPOT,0
PLASTERS IN TIN STRONGMAN,6
SMALL RED RETROSPOT MUG IN BOX,0
BLUE HARMONICA IN BOX,0
BOTTLE BAG RETROSPOT,8
CAKE STAND 3 TIER MAGIC GARDEN,0
COOK WITH WINE METAL SIGN,5
LOVE SEAT ANTIQUE WHITE METAL,5
METAL SIGN HER DINNER IS SERVED,5
RED RETROSPOT STORAGE JAR,0
DOORMAT MULTICOLOUR STRIPE,0
EASTER CRAFT 4 CHICKS,0
FELTCRAFT PRINCESS OLIVIA DOLL,0
HEART FILIGREE DOVE LARGE,0
CABIN BAG VINTAGE RETROSPOT,8
ENAMEL WATERING CAN CREAM,0
FAMILY PHOTO FRAME CORNICE,0
JUMBO BAG VINTAGE CHRISTMAS,8
PARISIENNE JEWELLERY DRAWER,0
SET OF 4 KNICK KNACK TINS DOILY,9
BALLOON PUMP WITH 10 BALLOONS,0
CHARLOTTE BAG SUKI DESIGN,8
CHRISTMAS LIGHTS 10 SANTAS,0
FULL ENGLISH BREAKFAST PLATE,0
LARGE WHITE HEART OF WICKER,0
RED GINGHAM TEDDY BEAR,0
S/6 WOODEN SKITTLES IN COTTON BAG,8
SPACEBOY MINI BACKPACK,0
12 EGG HOUSE PAINTED WOOD,0
3 HOOK PHOTO SHELF ANTIQUE WHITE,0
POTTERING MUG,0
RED SPOT HEART HOT WATER BOTTLE,0
TRADITIONAL MODELLING CLAY,0
TRADITIONAL WOODEN SKIPPING ROPE,0
COLOURING PENCILS BROWN TUBE,0
PLASTERS IN TIN VINTAGE PAISLEY,6
TEA TIME CAKE STAND IN GIFT BOX,0
JUMBO BAG PAISLEY PARK,8
MAN FLU METAL SIGN,5
PINK  HEART SHAPE LOVE BUCKET,0
RED 3 PIECE MINI DOTS CUTLERY SET,9
SCANDINAVIAN PAISLEY PICNIC BAG,8
SET OF 3 COLOURED  FLYING DUCKS,9
SPACEBOY GIFT WRAP,0
VINTAGE UNION JACK APRON,0
WHEELBARROW FOR CHILDREN,0
WHITE DOVE HONEYCOMB PAPER GARLAND,0
ENGLISH ROSE DESIGN QUILTED THROW,0
I CAN ONLY PLEASE ONE PERSON MUG,0
PINK CHERRY LIGHTS,0
SMALL HEART MEASURING SPOONS,0
WALL ART KEEP CALM,0
BLUE PAPER PARASOL,0
DOLLY GIRL LUNCH BOX,0
PINK 3 PIECE MINI DOTS CUTLERY SET,9
SET 6 PAPER TABLE LANTERN STARS,9
WICKER STAR,0
COFFEE MUG APPLES DESIGN,0
DOLLY GIRL BABY GIFT SET,9
JUMBO BAG DOILEY PATTERNS,8
PAPER BUNTING RETRO SPOTS,0
RED GINGHAM ROSE JEWELLERY BOX,0
RED WOOLLY HOTTIE WHITE HEART.,0
WHITE BEADED GARLAND STRING 20LIGHT,0
GREEN REGENCY TEACUP AND SAUCER,0
SPACEBOY BABY GIFT SET,9
TROPICAL  HONEYCOMB PAPER GARLAND,0
WHITE JEWELLED HEART DECORATION,0
DOOR MAT HEARTS,0
PAPER CHAIN KIT 50'S CHRISTMAS,0
PENS ASSORTED FUNNY FACE,0
PINK REGENCY TEACUP AND SAUCER,0
SET 7 BABUSHKA NESTING BOXES,9
WOODEN BOX OF DOMINOES,0
ALPHABET STENCIL CRAFT,0
CAMOUFLAGE LED TORCH,0
CHILDRENS CUTLERY POLKADOT PINK,0
CREAM SWEETHEART MAGAZINE RACK,0
HANGING HEART ZINC T-LIGHT HOLDER,4
LARGE CAKE STAND  HANGING STRAWBERY,0
LUNCH BAG PAISLEY PARK,8
SET/6 RED SPOTTY PAPER CUPS,0
FOUR HOOK  WHITE LOVEBIRDS,0
GIN + TONIC DIET METAL SIGN,5
PEARL CRYSTAL PUMPKIN T-LIGHT HLDR,0
WOOD BLACK BOARD ANT WHITE FINISH,0
36 FOIL HEART CAKE CASES,0
BLUE DINER WALL CLOCK,0
DOORMAT FAIRY CAKE,0
FELTCRAFT 6 FLOWER FRIENDS,0
HEART OF WICKER LARGE,0
SMALL RED RETROSPOT WINDMILL,0
CHARLIE AND LOLA FIGURES TINS,0
HEART OF WICKER SMALL,0
METAL SIGN EMPIRE TEA,5
15CM CHRISTMAS GLASS BALL 20 LIGHTS,0
DOG BOWL CHASING BALL DESIGN,0
PINK HAPPY BIRTHDAY BUNTING,0
RETROSPOT TEA SET CERAMIC 11 PC,9
ROUND SNACK BOXES SET OF 4 FRUITS,9
SKULLS PARTY BAG + STICKER SET,8
VINTAGE SNAKES & LADDERS,0
WOODEN UNION JACK BUNTING,0
DOOR MAT FANCY FONT HOME SWEET HOME,0
DOOR MAT WELCOME PUPPIES,0
ICE CREAM PEN LIP GLOSS,0
RED RETROSPOT OVEN GLOVE,0
RED SPOTTY BOWL,0
SET OF 9 HEART SHAPED BALLOONS,9
VINTAGE CHRISTMAS TABLECLOTH,0
CHRISTMAS CRAFT WHITE FAIRY,0
COFFEE MUG DOG + BALL DESIGN,0
GIRLS ALPHABET IRON ON PATCHES,0
PARTY CONE CHRISTMAS DECORATION,0
SET/4 WHITE RETRO STORAGE CUBES,0
ILLUSTRATED CAT BOWL,0
PANTRY WASHING UP BRUSH,0
PINK BABY BUNTING,0
PINK OWL SOFT TOY,0
PLASTERS IN TIN CIRCUS PARADE,6
SET OF 3 NOTEBOOKS IN PARCEL,9
SET OF 6 T-LIGHTS SNOWMEN,9
60 CAKE CASES VINTAGE CHRISTMAS,0
ALARM CLOCK BAKELIKE RED,0
BLACK KITCHEN SCALES,0
BLUE SPOT CERAMIC DRAWER KNOB,0
ROSE COTTAGE KEEPSAKE BOX,0
WALL MOUNTED VINTAGE ORGANISER,0
BOX OF VINTAGE ALPHABET BLOCKS,0
DAIRY MAID TRADITIONAL TEAPOT,0
LUNCH BAG  BLACK SKULL.,8
PACK 3 BOXES CHRISTMAS PANNETONE,0
SET 3 WICKER LOG BASKETS,9
DINOSAUR LUNCH BOX WITH CUTLERY,0
KINGS CHOICE GIANT TUBE MATCHES,0
SET OF 4 PANTRY JELLY MOULDS,9
ALARM CLOCK BAKELIKE IVORY,0
JUMBO BAG RED WHITE SPOTTY,8
LARGE RED SPOT WINDMILL,0
MIRRORED DISCO BALL,0
SET/10 RED SPOTTY PARTY CANDLES,0
FELTCRAFT CUSHION BUTTERFLY,0
PACK OF 60 PINK PAISLEY CAKE CASES,0
RIBBON REEL CHRISTMAS PRESENT,0
RIBBON REEL STRIPES DESIGN,0
SET OF 72 RETRO SPOT PAPER  DOILIES,9
METAL MERRY CHRISTMAS WREATH,5
PINK FAIRY CAKE CHILD'S APRON,0
WILLOW BRANCH LIGHTS.,0
CIRCUS PARADE BABY GIFT SET,9
POPCORN HOLDER,0
RETROSPOT HEART HOT WATER BOTTLE,0
SET OF 6 T-LIGHTS SANTA,9
FELTCRAFT CUSHION RABBIT,0
MA CAMPAGNE CUTLERY BOX,0
PAPER CHAIN KIT RETROSPOT,0
SET 12 KIDS COLOUR  CHALK STICKS,9
VINTAGE UNION JACK SHOPPING BAG,8
ADVENT CALENDAR GINGHAM SACK,0
AGED GLASS SILVER T-LIGHT HOLDER,4
JUMBO BAG 50'S CHRISTMAS,8
JUMBO BAG WOODLAND ANIMALS,8
LOVEBIRD HANGING DECORATION WHITE,0
STRAWBERRY SHOPPER BAG,8
TOILET METAL SIGN,5
ASSORTED COLOURS SILK FAN,0
BREAD BIN DINER STYLE IVORY,0
SET OF 12 ROSE BOTANICAL T-LIGHTS,9
36 PENCILS TUBE WOODLAND,0
DOORMAT UNION JACK GUNS AND ROSES,0
SET 2 TEA TOWELS I LOVE LONDON,9
ZINC METAL HEART DECORATION,5
HAND WARMER UNION JACK,1
NOEL WOODEN BLOCK LETTERS,0
SET OF 60 PANTRY DESIGN CAKE CASES,9
BEWARE OF THE CAT METAL SIGN,5
CHINESE DRAGON PAPER LANTERNS,0
GROW YOUR OWN PLANT IN A CAN,0
LIGHT PINK CHERRY LIGHTS,0
LOVE HOT WATER BOTTLE,0
RETRO SPOT TRADITIONAL TEAPOT,0
SET OF 3 CASES WOODLAND DESIGN,9
COLOUR GLASS T-LIGHT HOLDER HANGING,4
SKULL SHOULDER BAG,8
WALL TIDY RETROSPOT,0
DELUXE SEWING KIT,0
SOLDIERS EGG CUP,0
STRAWBERRY LUNCH BOX WITH CUTLERY,0
ZINC WILLIE WINKIE  CANDLE STICK,0
ASSORTED COLOUR T-LIGHT HOLDER,4
GREEN 3 PIECE POLKADOT CUTLERY SET,9
IVORY GIANT GARDEN THERMOMETER,0
JUMBO BAG DOLLY GIRL DESIGN,8
PACK OF 6 SWEETIE GIFT BOXES,0
SLATE TILE NATURAL HANGING,0
BOX OF 6 MINI 50'S CRACKERS,0
BROCADE RING PURSE,0
GLASS JAR ENGLISH CONFECTIONERY,0
NATURAL SLATE RECTANGLE CHALKBOARD,0
S/4 BLUE ROUND DECOUPAGE BOXES,0
VINTAGE SNAP CARDS,0
WOODEN BOX ADVENT CALENDAR,0
T-LIGHT GLASS FLUTED ANTIQUE,4
WOODLAND  HEIGHT CHART STICKERS,0
HEART IVORY TRELLIS SMALL,0
PHOTO CUBE,0
PINK VINTAGE PAISLEY PICNIC BAG,8
SKULLS  WATER TRANSFER TATTOOS,0
WHITE WIRE EGG HOLDER,0
CHILDRENS CUTLERY POLKADOT GREEN,0
FELTCRAFT DOLL ROSIE,0
RED RETROSPOT TEA CUP AND SAUCER,0
VINTAGE POST OFFICE CABINET,0
WHITE LOVEBIRD LANTERN,0
CAKE STAND WHITE TWO TIER LACE,0
DOORMAT FANCY FONT HOME SWEET HOME,0
FAIRY CAKE BIRTHDAY CANDLE SET,9
PICNIC BASKET WICKER LARGE,0
SPACEBOY LUNCH BOX,0
TABLECLOTH RED APPLES DESIGN,0
SET/10 PINK POLKADOT PARTY CANDLES,0
3 HOOK HANGER MAGIC GARDEN,0
CREAM SWEETHEART TRAYS,0
EMBOSSED GLASS TEALIGHT HOLDER,4
FELTCRAFT PRINCESS CHARLOTTE DOLL,0
PINK PARTY BAGS,0
TOY TIDY SPACEBOY,0
CAKE STAND LOVEBIRD 2 TIER WHITE,0
CREAM CUPID HEARTS COAT HANGER,0
LUNCH BAG SUKI  DESIGN,8
SKULL AND CROSSBONES  GARLAND,0
VICTORIAN SEWING KIT,0
DOOR MAT FAIRY CAKE,0
RED RETROSPOT CAKE STAND,0
CHRISTMAS LIGHTS 10 VINTAGE BAUBLES,0
COLOUR GLASS. STAR T-LIGHT HOLDER,4
FUNKY WASHING UP GLOVES ASSORTED,0
KINGS CHOICE CIGAR BOX MATCHES,0
PARTY BUNTING,0
PACK OF 12 LONDON TISSUES,0
PAPER BUNTING COLOURED LACE,0
SPOTTY BUNTING,0
WALL ART CLASSIC PUDDINGS,0
KINGS CHOICE BISCUIT TIN,6
LARGE POPCORN HOLDER,0
NO SINGING METAL SIGN,5
RECYCLED ACAPULCO MAT TURQUOISE,0
RED SPOTTY PEG BAG,8
SET 3 WICKER OVAL BASKETS W LIDS,9
SET/20 STRAWBERRY PAPER NAPKINS,0
VINTAGE CREAM 3 BASKET CAKE STAND,0
VINTAGE DOILY JUMBO BAG RED,8
ANTIQUE SILVER TEA GLASS ETCHED,0
CAKE STAND LOVEBIRD 2 TIER PINK,0
CHRISTMAS CRAFT LITTLE FRIENDS,0
CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,0
DOOR MAT UNION FLAG,0
PACK OF 12 PINK PAISLEY TISSUES,0
PACK OF SIX LED TEA LIGHTS,0
PARTY CONES CANDY ASSORTED,0
PICNIC BASKET WICKER SMALL,0
TEA TIME TEA TOWELS,0
WOODEN FRAME ANTIQUE WHITE,0
GINGERBREAD MAN COOKIE CUTTER,0
HOME SMALL WOOD LETTERS,0
JINGLE BELL HEART DECORATION,0
RIBBON REEL SNOWY VILLAGE,0
COFFEE MUG PINK PAISLEY DESIGN,0
FIVE HEART HANGING DECORATION,0
RETRO SPOT LAMP,0
SMALL POPCORN HOLDER,0
DOORMAT SPOTTY HOME SWEET HOME,0
FAIRY CAKE DESIGN UMBRELLA,0
HANGING HEART JAR T-LIGHT HOLDER,4
PICTURE DOMINOES,0
VINTAGE CHRISTMAS STOCKING,0
COFFEE MUG CAT + BIRD DESIGN,0
JUMBO BAG APPLES,8
MOROCCAN TEA GLASS,0
RED HEART SHAPE LOVE BUCKET,0
SET OF 6 SPICE TINS PANTRY DESIGN,9
DOORMAT I LOVE LONDON,0
JUMBO BAG SPACEBOY DESIGN,8
ROCKING HORSE RED CHRISTMAS,0
VICTORIAN SEWING BOX SMALL,0
VINTAGE UNION JACK BUNTING,0
WELCOME  WOODEN BLOCK LETTERS,0
CREAM SWEETHEART SHELF + HOOKS,0
RED KITCHEN SCALES,0
SET/20 RED SPOTTY PAPER NAPKINS,0
WRAP PINK FAIRY CAKES,0
